문제,정답,해설
｢형법｣ 제6조 본문에서 정한 ‘대한민국 또는 대한민국 국민에 대하여 죄를 범한 때’란 대한민국 또는 대한민국 국민의 법익이 직접적으로 침해되는 결과를 야기하는 죄를 범한 경우를 의미한다.,O,"형법 제5조, 제6조의 각 규정에 의하면, 외국인이 외국에서 죄를 범한 경우에는 형법 제5조 제1호 내지 제7호에 열거된 죄를 범한 때와 형법 제5조 제1호 내지 제7호에 열거된 죄 이외에 대한민국 또는 대한민국 국민에 대하여 죄를 범한 때에만 대한민국 형법이 적용되어 우리나라에 재판권이 있게 되고, 여기서 ‘대한민국 또는 대한민국 국민에 대하여 죄를 범한 때’란 대한민국 또는 대한민국 국민의 법익이 직접적으로 침해되는 결과를 야기하는 죄를 범한 경우를 의미한다(2011도6507)."
우리 형법은 외국에서 형의 전부 또는 일부의 집행을 받은 자에 대하여 임의적으로 형의 산입 여부를 정할 수 있도록 하고 있다.,X,"필요적 산입임.
 형법 제7조(외국에서 집행된 형의 산입) 죄를 지어 외국에서 형의 전부 또는 일부가 집행된 사람에 대해서는 그 집행된 형의 전부 또는 일부를 선고하는 형에 산입한다."
"중국인이 중국에 소재하고 있는 대한민국 영사관 내에서 여권발급신청서 1장을 위조하여 제출한 경우, 대한민국 형법이 적용된다.",X,"형법의 적용에 관하여 같은 법 제2조는 대한민국 영역 내에서 죄를 범한 내국인과 외국인에게 적용한다고 규정하고 있으며, 같은 법 제6조 본문은 대한민국 영역 외에서 대한민국 또는 대한민국 국민에 대하여 같은 법 제5조에 기재한 이외의 죄를 범한 외국인에게 적용한다고 규정하고 있는바, 중국 북경시에 소재한 대한민국 영사관 내부는 여전히 중국의 영토에 속할 뿐 이를 대한민국의 영토로서 그 영역에 해당한다고 볼 수 없을 뿐 아니라, 사문서위조죄가 형법 제6조의 대한민국 또는 대한민국 국민에 대하여 범한 죄에 해당하지 아니함은 명백하다.
 따라서 원심이 내국인이 아닌 피고인이 위 영사관 내에서 공소외인 명의의 여권발급신청서 1장을 위조하였다는 취지의 공소사실에 대하여 외국인의 국외범에 해당한다는 이유로 피고인에 대한 재판권이 없다고 판단한 것은 옳고, 거기에 상고이유의 주장과 같이 재판권에 관한 법리오해 등의 잘못은 없다(2006도5010)."
"<甲은 야산에서 한 달 전 사망한 A의 지갑을 주웠는데, 그 지갑 속에는 B은행이 발행한 10만 원권 자기앞수표 10장과 A의 운전면허증이 들어 있었다. 甲은 위 자기앞수표 10장을 유흥비로 사용하였다. 甲은 A의 운전면허증을 재발급받아 자신이 사용하기로 마음먹고, 운전면허시험장에 가서 운전면허증 재발급신청서에 자신의 사진을 붙이되 A의 이름과 인적사항을 기재하여 운전면허증 재발급 신청을 하였고, 이에 속은 담당공무원으로부터 甲의 사진이 부착된 A의 이름으로 된 운전면허증을 발급받았다. 그 후 甲은 운전 중 검문경찰관으로부터 신분증제시 요구를 받고 A의 이름으로 된 운전면허증을 제시하였다.>
 甲이 자기앞수표를 사용한 행위는 불가벌적 사후행위에 해당한다.",O,금융기관발행의 자기앞수표는 그 액면금을 즉시 지급받을 수 있어 현금에 대신하는 기능을 하고 있으므로 절취한 자기앞수표를 현금 대신으로 교부한 행위는 절도행위에 대한 가벌적 평가에 당연히 포함되는 것으로 봄이 상당하다 할 것이므로 절취한 자기앞수표를 음식대금으로 교부하고 거스름돈을 환불받은 행위는 절도의 불가벌적 사후처분행위로서 사기죄가 되지 아니한다(86도1728).
"<甲은 야산에서 한 달 전 사망한 A의 지갑을 주웠는데, 그 지갑 속에는 B은행이 발행한 10만 원권 자기앞수표 10장과 A의 운전면허증이 들어 있었다. 甲은 위 자기앞수표 10장을 유흥비로 사용하였다. 甲은 A의 운전면허증을 재발급받아 자신이 사용하기로 마음먹고, 운전면허시험장에 가서 운전면허증 재발급신청서에 자신의 사진을 붙이되 A의 이름과 인적사항을 기재하여 운전면허증 재발급 신청을 하였고, 이에 속은 담당공무원으로부터 甲의 사진이 부착된 A의 이름으로 된 운전면허증을 발급받았다. 그 후 甲은 운전 중 검문경찰관으로부터 신분증제시 요구를 받고 A의 이름으로 된 운전면허증을 제시하였다.>
 甲이 권한 없이 A 명의의 운전면허증 재발급신청서를 작성하였으므로 사문서위조죄가 성립한다.",O,"문서위조죄는 문서의 진정에 대한 공공의 신용을 그 보호법익으로 하는 것이므로 행사할 목적으로 작성된 문서가 일반인으로 하여금 당해 명의인의 권한 내에서 작성된 문서라고 믿게 할 수 있는 정도의 형식과 외관을 갖추고 있으면 문서위조죄가 성립하는 것이고, 위와 같은 요건을 구비한 이상 그 명의인이 실재하지 않는 허무인이거나 또는 문서의 작성일자 전에 이미 사망하였다고 하더라도 그러한 문서 역시 공공의 신용을 해할 위험성이 있으므로 문서위조죄가 성립한다고 봄이 상당하며, 이는 공문서뿐만 아니라 사문서의 경우에도 마찬가지라고 보아야 한다(2002도18)."
"<甲은 야산에서 한 달 전 사망한 A의 지갑을 주웠는데, 그 지갑 속에는 B은행이 발행한 10만 원권 자기앞수표 10장과 A의 운전면허증이 들어 있었다. 甲은 위 자기앞수표 10장을 유흥비로 사용하였다. 甲은 A의 운전면허증을 재발급받아 자신이 사용하기로 마음먹고, 운전면허시험장에 가서 운전면허증 재발급신청서에 자신의 사진을 붙이되 A의 이름과 인적사항을 기재하여 운전면허증 재발급 신청을 하였고, 이에 속은 담당공무원으로부터 甲의 사진이 부착된 A의 이름으로 된 운전면허증을 발급받았다. 그 후 甲은 운전 중 검문경찰관으로부터 신분증제시 요구를 받고 A의 이름으로 된 운전면허증을 제시하였다.>
 甲이 그 정을 모르는 담당공무원을 이용하여 운전면허증을 재발급받았으므로 공문서위조죄의 간접정범이 성립한다.",X,"어느 문서의 작성권한을 갖는 공무원이 그 문서의 기재 사항을 인식하고 그 문서를 작성할 의사로써 이에 서명날인하였다면, 설령 그 서명날인이 타인의 기망으로 착오에 빠진 결과 그 문서의 기재사항이 진실에 반함을 알지 못한 데 기인한다고 하여도, 그 문서의 성립은 진정하며 여기에 하등 작성명의를 모용한 사실이 있다고 할 수는 없으므로, 공무원 아닌 자가 관공서에 허위 내용의 증명원을 제출하여 그 내용이 허위인 정을 모르는 담당공무원으로부터 그 증명원 내용과 같은 증명서를 발급받은 경우 공문서위조죄의 간접정범으로 의율할 수는 없다(2000도938)."
"<甲은 야산에서 한 달 전 사망한 A의 지갑을 주웠는데, 그 지갑 속에는 B은행이 발행한 10만 원권 자기앞수표 10장과 A의 운전면허증이 들어 있었다. 甲은 위 자기앞수표 10장을 유흥비로 사용하였다. 甲은 A의 운전면허증을 재발급받아 자신이 사용하기로 마음먹고, 운전면허시험장에 가서 운전면허증 재발급신청서에 자신의 사진을 붙이되 A의 이름과 인적사항을 기재하여 운전면허증 재발급 신청을 하였고, 이에 속은 담당공무원으로부터 甲의 사진이 부착된 A의 이름으로 된 운전면허증을 발급받았다. 그 후 甲은 운전 중 검문경찰관으로부터 신분증제시 요구를 받고 A의 이름으로 된 운전면허증을 제시하였다.>
 甲이 검문경찰관에게 제시한 A 명의의 운전면허증은 진정하게 성립된 문서가 아니기 때문에 공문서부정행사죄는 성립하지 않는다.",X,"공문서부정행사죄는 그 사용권한자와 용도가 특정되어 작성된 공문서 또는 공도화를 사용권한 없는 자가 그 사용권한 있는 것처럼 가장하여 부정한 목적으로 행사한 때 또는 형식상 그 사용권한이 있는 자라도 그 정당한 용법에 반하여 부정하게 행사한 때에 성립한다고 해석할 것인바, 피고인이 공소외 (갑)인 양 허위신고하여 피고인의 사진과 지문이 찍힌 공소외 (갑)명의의 주민등록증을 발급받은 이상 주민등록증의 발행목적상 피고인에게 위 주민등록증에 부착된 사진의 인물이 공소외 (갑)의 신원 상황을 가진 사람이라는 허위사실을 증명하는 용도로 이를 사용할 수 있는 권한이 없다는 사실을 인식하고 있었다고도 할 것이므로 이를 검문경찰관에게 제시하여 이러한 허위사실을 증명하는 용도로 사용한 것은 공문서 부정행사죄를 구성한다(82도1297)."
"<甲은 야산에서 한 달 전 사망한 A의 지갑을 주웠는데, 그 지갑 속에는 B은행이 발행한 10만 원권 자기앞수표 10장과 A의 운전면허증이 들어 있었다. 甲은 위 자기앞수표 10장을 유흥비로 사용하였다. 甲은 A의 운전면허증을 재발급받아 자신이 사용하기로 마음먹고, 운전면허시험장에 가서 운전면허증 재발급신청서에 자신의 사진을 붙이되 A의 이름과 인적사항을 기재하여 운전면허증 재발급 신청을 하였고, 이에 속은 담당공무원으로부터 甲의 사진이 부착된 A의 이름으로 된 운전면허증을 발급받았다. 그 후 甲은 운전 중 검문경찰관으로부터 신분증제시 요구를 받고 A의 이름으로 된 운전면허증을 제시하였다.>
 甲이 공무원에 대하여 허위신고를 하여 자동차운전면허대장에 부실의 사실을 기재하게 하였다면, 공정증서원본불실기재죄(｢형법｣ 제228조 제1항)가 성립한다.",X,"도로교통법 시행령 제94조와 같은 법 시행규칙 제38조, 제77조, 제78조, 제80조, 제98조 등의 규정 취지를 종합하여 보면, 자동차운전면허대장은 운전면허 행정사무집행의 편의를 위하여 범칙자, 교통사고유발자의 인적사항·면허번호 등을 기재하거나 운전면허증의 교부 및 재교부 등에 관한 사항을 기재하는 것에 불과하며, 그에 대한 기재를 통해 당해 운전면허 취득자에게 어떠한 권리의무를 부여하거나 변동 또는 상실시키는 효력을 발생하게 하는 것으로 볼 수는 없고, 따라서 자동차운전면허대장은 사실증명에 관한 것에 불과하므로 형법 제228조 제1항에서 말하는 공정증서원본이라고 볼 수 없다(2010도1125)."
"<새벽에 귀가 중인 甲에게 노숙자 A가 구걸을 하려고 접근하였다. 그러나 甲은 이전에 소위 ‘퍽치기’ 강도를 당한 경험 때문에, A를 ‘퍽치기’ 강도로 오인하였다. 이때 현장에 온 택시기사 乙이 A가 노숙자이고 구걸을 하려는 것을 알면서도, 甲에게 “A가 당신을 공격하려 한다.”라고 말하였다. 이에 甲은 그 말을 믿고 A를 폭행하였다.>
 소극적 구성요건요소이론에 의하면 甲의 착오는 사실의 착오(구성요건적 착오)에 해당하며 폭행죄의 고의가 부정된다.",O,
"<새벽에 귀가 중인 甲에게 노숙자 A가 구걸을 하려고 접근하였다. 그러나 甲은 이전에 소위 ‘퍽치기’ 강도를 당한 경험 때문에, A를 ‘퍽치기’ 강도로 오인하였다. 이때 현장에 온 택시기사 乙이 A가 노숙자이고 구걸을 하려는 것을 알면서도, 甲에게 “A가 당신을 공격하려 한다.”라고 말하였다. 이에 甲은 그 말을 믿고 A를 폭행하였다.>
 엄격책임설에 의하면 甲의 착오는 법률의 착오에 해당하여 오인함에 정당한 이유가 없는 경우 폭행죄가 성립한다.",O,
"<새벽에 귀가 중인 甲에게 노숙자 A가 구걸을 하려고 접근하였다. 그러나 甲은 이전에 소위 ‘퍽치기’ 강도를 당한 경험 때문에, A를 ‘퍽치기’ 강도로 오인하였다. 이때 현장에 온 택시기사 乙이 A가 노숙자이고 구걸을 하려는 것을 알면서도, 甲에게 “A가 당신을 공격하려 한다.”라고 말하였다. 이에 甲은 그 말을 믿고 A를 폭행하였다.>
 구성요건적 착오규정을 유추적용하는 견해에 의하면 甲의 고의가 부정되어 폭행죄가 성립하지 않는다.",O,
"<새벽에 귀가 중인 甲에게 노숙자 A가 구걸을 하려고 접근하였다. 그러나 甲은 이전에 소위 ‘퍽치기’ 강도를 당한 경험 때문에, A를 ‘퍽치기’ 강도로 오인하였다. 이때 현장에 온 택시기사 乙이 A가 노숙자이고 구걸을 하려는 것을 알면서도, 甲에게 “A가 당신을 공격하려 한다.”라고 말하였다. 이에 甲은 그 말을 믿고 A를 폭행하였다.>
 법효과제한적 책임설에 의하면 甲에게 고의불법은 인정되지만 고의책임이 배제되어 폭행죄가 성립하지 않는다.",O,
"<새벽에 귀가 중인 甲에게 노숙자 A가 구걸을 하려고 접근하였다. 그러나 甲은 이전에 소위 ‘퍽치기’ 강도를 당한 경험 때문에, A를 ‘퍽치기’ 강도로 오인하였다. 이때 현장에 온 택시기사 乙이 A가 노숙자이고 구걸을 하려는 것을 알면서도, 甲에게 “A가 당신을 공격하려 한다.”라고 말하였다. 이에 甲은 그 말을 믿고 A를 폭행하였다.>
 소극적 구성요건요소이론과 법효과제한적 책임설에 따르면 제한적 종속형식에 의할 때 乙은 甲의 행위에 대하여 폭행죄의 교사범이 된다.",X,소극적 구성요건요소이론에 따르면 乙에게 폭행죄의 교사범의 죄책을 물을 수 없다.
"부진정부작위범에서의 보증인지위와 보증의무를 구별하는 입장에 의하면, 보증의무가 존재하지 아니하는 것으로 착오한 경우는 법률의 착오로 취급된다.",O,
임대인이 임대차계약을 체결하면서 임차인에게 임대목적물이 경매진행 중인 사실을 알리지 않은 경우 임차인이 등기부를 확인 또는 열람하는 것이 가능하였다면 임대인에게 사기죄가 성립하지 않는다.,X,"그리고 사기죄의 요건으로서의 기망은 널리 재산상의 거래관계에 있어 서로 지켜야 할 신의와 성실의 의무를 저버리는 모든 적극적 또는 소극적 행위를 말하는 것이고, 이러한 소극적 행위로서의 부작위에 의한 기망은 법률상 고지의무 있는 자가 일정한 사실에 관하여 상대방이 착오에 빠져 있음을 알면서도 이를 고지하지 아니함을 말하는 것으로서, 일반거래의 경험칙상 상대방이 그 사실을 알았더라면 당해 법률행위를 하지 않았을 것이 명백한 경우에는 신의칙에 비추어 그 사실을 고지할 법률상 의무가 인정되는 것이다(대법원 1997. 9. 26. 선고 96도2531 판결, 1996. 7. 30. 선고 96도1081 판결, 1984. 9. 25. 선고 84도882 판결 등 참조).
 피해자가 이 사건 임대차계약 당시 임차할 여관건물에 관하여 법원의 경매개시결정에 따른 경매절차가 이미 진행중인 사실을 알았더라면 그 건물에 관한 임대차계약을 체결하지 않았을 것임이 명백한 이상, 피고인은 신의칙상 피해자에게 이를 고지할 의무가 있다 할 것이고, 피해자 스스로 그 건물에 관한 등기부를 확인 또는 열람하는 것이 가능하다고 하여 결론을 달리 할 것은 아니다(98도3263)."
"진정부작위범과 부진정부작위범 모두 작위의무가 법적으로 인정되더라도 작위의무를 이행하는 것이 사실상 불가능한 상황이었다면, 부작위범이 성립할 수 없다.",O,"자연적 의미에서의 부작위는 거동성이 있는 작위와 본질적으로 구별되는 무(無)에 지나지 아니하지만, 위 규정에서 말하는 부작위는 법적 기대라는 규범적 가치판단 요소에 의하여 사회적 중요성을 가지는 사람의 행태가 되어 법적 의미에서 작위와 함께 행위의 기본 형태를 이루게 되므로, 특정한 행위를 하지 아니하는 부작위가 형법적으로 부작위로서의 의미를 가지기 위해서는, 보호법익의 주체에게 해당 구성요건적 결과 발생의 위험이 있는 상황에서 행위자가 구성요건의 실현을 회피하기 위하여 요구되는 행위를 현실적⋅물리적으로 행할 수 있었음에도 하지 아니하였다고 평가될 수 있어야 한다(2015도6809)."
부진정부작위범의 요건으로 행위태양의 동가치성을 요구하는 것은 부진정부작위범의 형사처벌을 확장하는 기능을 한다.,X,제한하는 기능을 한다.
"의사가 수술 후 치료를 계속하지 않으면 환자가 사망할 수 있음을 알면서도 보호자의 강력한 요청으로 치료를 중단하고 퇴원을 허용하여 보호자의 방치로 환자가 사망한 경우, 그 의사에게는 부작위에 의한 살인방조죄가 성립한다.",X,"보호자가 의학적 권고에도 불구하고 치료를 요하는 환자의 퇴원을 간청하여 담당 전문의와 주치의가 치료중단 및 퇴원을 허용하는 조치를 취함으로써 환자를 사망에 이르게 한 행위에 대하여 보호자, 담당 전문의 및 주치의가 부작위에 의한 살인죄의 공동정범으로 기소된 사안에서, 담당 전문의와 주치의에게 환자의 사망이라는 결과 발생에 대한 정범의 고의는 인정되나 환자의 사망이라는 결과나 그에 이르는 사태의 핵심적 경과를 계획적으로 조종하거나 저지·촉진하는 등으로 지배하고 있었다고 보기는 어려워 공동정범의 객관적 요건인 이른바 기능적 행위지배가 흠결되어 있다는 이유로 작위에 의한 살인방조죄만 성립한다고 한 사례(2002도995)."
"<甲은 음주운전 전력으로 자동차 운전면허가 취소된 상태에서, 혈중알코올농도 0.15%의 술에 취하여 정상적인 운전이 곤란한 상태에서 자신의 승용차를 운전하여 가던 중, 전방에 신호대기로 정차하고 있던 A가 운전하는 화물차의 뒷부분을 들이받아 그 충격으로 A에게 약 2주간의 치료를 요하는 상해를 입게 하고, 위 화물차의 수리비가 150만 원이 들도록 손괴하였다.>
 甲이 범한 도로교통법위반(음주운전)죄와 도로교통법위반(무면허운전)죄는 상상적 경합관계에 있다.",O,"형법 제40조에서 말하는 1개의 행위란 법적 평가를 떠나 사회관념상 행위가 사물자연의 상태로서 1개로 평가되는 것을 말하는 바, 무면허인데다가 술이 취한 상태에서 오토바이를 운전하였다는 것은 위의 관점에서 분명히 1개의 운전행위라 할 것이고 이 행위에 의하여 도로교통법 제111조 제2호, 제40조와 제109조 제2호, 제41조 제1항의 각 죄에 동시에 해당하는 것이니 두 죄는 형법 제40조의 상상적 경합관계에 있다고 할 것이다(86도2731)."
"<甲은 음주운전 전력으로 자동차 운전면허가 취소된 상태에서, 혈중알코올농도 0.15%의 술에 취하여 정상적인 운전이 곤란한 상태에서 자신의 승용차를 운전하여 가던 중, 전방에 신호대기로 정차하고 있던 A가 운전하는 화물차의 뒷부분을 들이받아 그 충격으로 A에게 약 2주간의 치료를 요하는 상해를 입게 하고, 위 화물차의 수리비가 150만 원이 들도록 손괴하였다.>
 甲이 정상적인 운전이 곤란한 상태가 아니었다면, 甲이 범한 도로교통법위반(무면허운전)죄와 교통사고처리특례법위반(치상)죄는 상상적 경합관계에 있다.",X,
"<甲은 음주운전 전력으로 자동차 운전면허가 취소된 상태에서, 혈중알코올농도 0.15%의 술에 취하여 정상적인 운전이 곤란한 상태에서 자신의 승용차를 운전하여 가던 중, 전방에 신호대기로 정차하고 있던 A가 운전하는 화물차의 뒷부분을 들이받아 그 충격으로 A에게 약 2주간의 치료를 요하는 상해를 입게 하고, 위 화물차의 수리비가 150만 원이 들도록 손괴하였다.>
 甲의 행위에 대하여 특정범죄가중처벌등에관한법률위반(위험운전치상)죄가 성립되는 경우, 교통사고처리특례법위반(치상)죄는 그 죄에 흡수되어 별죄를 구성하지 아니한다.",O,
"<甲은 음주운전 전력으로 자동차 운전면허가 취소된 상태에서, 혈중알코올농도 0.15%의 술에 취하여 정상적인 운전이 곤란한 상태에서 자신의 승용차를 운전하여 가던 중, 전방에 신호대기로 정차하고 있던 A가 운전하는 화물차의 뒷부분을 들이받아 그 충격으로 A에게 약 2주간의 치료를 요하는 상해를 입게 하고, 위 화물차의 수리비가 150만 원이 들도록 손괴하였다.>
 甲이 사고 후 ｢도로교통법｣ 제54조 제1항의 조치를 취하지 아니하고 도주하여 특정범죄가중처벌등에관한법률위반(도주치상)죄와 도로교통법위반(사고후미조치)죄가 성립하는 경우, 위 두 죄는 실체적 경합관계에 있다.",X,상상적 경합범의 관계에 있다(93도49).
"허위공문서작성죄의 객체가 되는 문서는 작성명의인이 명시되어 있지 않더라도 문서의 형식, 내용 등 문서 자체에 의하여 누가 작성하였는지를 추지할 수 있을 정도의 것이면 된다.",O,2018도18646.
최종 결재권자를 보조하여 문서의 기안업무를 담당한 공무원이 이미 결재를 받아 완성된 공문서에 대하여 적법한 절차를 밟지 않고 그 내용을 변경한 경우에는 공문서변조죄가 성립할 수 없다.,X,공문서변조죄는 권한 없는 자가 행사할 목적으로 공무소 또는 공무원이 이미 작성한 문서내용에 대하여 동일성을 침해하지 않을 정도로 변경을 가하여 새로운 증명력을 만들어 냄으로써 공공적 신용을 해칠 위험성이 있을 때 성립한다(대법원 2003. 12. 26. 선고 2002도7339 판결 등 참조). 최종 결재권자를 보조하여 문서의 기안업무를 담당한 공무원이 이미 결재를 받아 완성된 공문서에 대하여 적법한 절차를 밟지 않고 그 내용을 변경한 경우에도 특별한 사정이 없는 한 공문서변조죄가 성립한다(2016도5218).
문서의 내용을 저장한 전자 파일이나 그 파일을 실행시켜 컴퓨터 모니터 화면에 나타낸 문서의 이미지는 형법상 문서에 관한 죄에 있어 ‘문서’에 해당되지 않는다.,O,"형법상 문서에 관한 죄에 있어서 문서라 함은, 문자 또는 이에 대신할 수 있는 가독적 부호로 계속적으로 물체상에 기재된 의사 또는 관념의 표시인 원본 또는 이와 사회적 기능, 신용성 등을 같게 볼 수 있는 기계적 방법에 의한 복사본으로서 그 내용이 법률상, 사회생활상 주요 사항에 관한 증거로 될 수 있는 것을 말한다(대법원 2006. 1. 26. 선고 2004도788 판결 등 참조). (중략)
 그러나 앞서 본 법리에 비추어 볼 때, 컴퓨터 모니터 화면에 나타나는 이미지는 이미지 파일을 보기 위한 프로그램을 실행할 경우에 그때마다 전자적 반응을 일으켜 화면에 나타나는 것에 지나지 않아서 계속적으로 화면에 고정된 것으로는 볼 수 없으므로, 형법상 문서에 관한 죄에 있어서의 ‘문서’에는 해당되지 않는다고 할 것이다(2007도7480)."
"대한민국 주중국 대사관 영사가 작성한 사실확인서 중 공인 부분을 제외한 나머지 부분이 영사의 공무수행 과정 중 작성되었지만 공적인 증명보다는 상급자 등에 대한 보고를 목적으로 하는 것이더라도, 그 부분은 ｢형사소송법｣ 제315조 제3호의 ‘기타 특히 신용할 만한 정황에 의하여 작성된 문서’에 해당한다.",X,"기록에 의하면, 대한민국 주중국 대사관 영사 공소외 1 작성의 사실확인서 중 공인 부분을 제외한 나머지 부분은 (중략) 비록 영사 공소외 1이 공무를 수행하는 과정에서 작성된 것이지만 그 목적이 공적인 증명에 있다기보다는 상급자 등에 대한 보고에 있는 것으로서 엄격한 증빙서류를 바탕으로 하여 작성된 것이라고 할 수 없으므로, 위와 같은 내용의 각 사실 확인 부분은 형사소송법 제315조 제1호에서 규정한 호적의 등본 또는 초본, 공정증서등본 기타 공무원 또는 외국공무원의 직무상 증명할 수 있는 사항에 관하여 작성한 문서라고 볼 수 없고, 또한 같은 조 제3호에서 규정한 기타 특히 신용할 만한 정황에 의하여 작성된 문서에 해당하여 당연히 증거능력이 있는 서류라고 할 수 없다(2007도7257)."
구속적부심문조서는 ｢형사소송법｣ 제311조(법원 또는 법관의 조서)에 해당되는 문서로 당연히 그 증거능력이 인정된다.,X,"[1] 구속적부심은 구속된 피의자 또는 그 변호인 등의 청구로 수사기관과는 별개 독립의 기관인 법원에 의하여 행하여지는 것으로서 구속된 피의자에 대하여 피의사실과 구속사유 등을 알려 그에 대한 자유로운 변명의 기회를 주어 구속의 적부를 심사함으로써 피의자의 권리보호에 이바지하는 제도인바, 법원 또는 합의부원, 검사, 변호인, 청구인이 구속된 피의자를 심문하고 그에 대한 피의자의 진술 등을 기재한 구속적부심문조서는 형사소송법 제311조가 규정한 문서에는 해당하지 않는다 할 것이나, 특히 신용할 만한 정황에 의하여 작성된 문서라고 할 것이므로 특별한 사정이 없는 한, 피고인이 증거로 함에 부동의하더라도 형사소송법 제315조 제3호에 의하여 당연히 그 증거능력이 인정된다.
 [2] 구속적부심문조서의 증명력은 다른 증거와 마찬가지로 법관의 자유판단에 맡겨져 있으나, 피의자는 구속적부심에서의 자백의 의미나 자백이 수사절차나 공판절차에서 가지는 중요성을 제대로 헤아리지 못한 나머지 허위자백을 하고라도 자유를 얻으려는 유혹을 받을 수가 있으므로, 법관은 구속적부심문조서의 자백의 기재에 관한 증명력을 평가함에 있어 이러한 점에 각별히 유의를 하여야 한다(2003도5693)."
업무상배임죄에서 업무상 임무라는 신분 관계 없는 甲이 신분 있는 乙과 공모하여 업무상배임죄를 범한 경우 甲에게는 단순배임죄가 성립한다.,X,"업무상배임죄는 업무상 타인의 사무를 처리하는 지위에 있는 사람이 그 임무를 위반하는 행위로써 재산상의 이익을 취득하거나 제3자로 하여금 이를 취득하게 하여 본인에게 손해를 입힌 때에 성립한다. 이는 타인의 사무를 처리하는 지위라는 점에서 보면 단순배임죄에 대한 가중규정으로서 신분관계로 형의 경중이 있는 경우라고 할 것이다. 따라서 그와 같은 업무상의 임무라는 신분관계가 없는 자가 그러한 신분관계 있는 자와 공모하여 업무상배임죄를 저질렀다면, 그러한 신분관계가 없는 공범에 대하여는 형법 제33조 단서에 따라 단순배임죄에서 정한 형으로 처단하여야 한다. 이 경우에는 신분관계 없는 공범에게도 같은 조 본문에 따라 일단 신분범인 업무상배임죄가 성립하고 다만 과형에서만 무거운 형이 아닌 단순배임죄의 법정형이 적용된다(대법원 1986. 10. 28. 선고 86도1517 판결, 대법원 2010. 9. 9. 선고 2010도6507 판결 등 참조)(2018도10047)."
"2인 이상의 서로 대향된 행위의 존재를 요구하는 관계인 금품 수수에서 금품 공여자에 대한 처벌규정이 없다면, 금품 공여자의 행위에만 관여하여 그 공여 행위를 교사·방조한 자는 금품 수수자의 범행에 대하여 공범이 되지 않는다.",O,
치과의사 甲이 치과의사면허가 없는 치과기공사 乙에게 치과진료행위를 하도록 교사한 경우 甲은 소극적 신분을 이유로 처벌되지 않는다.,X,치과의사가 환자의 대량유치를 위해 치과기공사들에게 내원환자들에게 진료행위를 하도록 지시하여 동인들이 각 단독으로 전항과 같은 진료행위를 하였다면 무면허의료행위의 교사범에 해당한다(86도749).
"방조범이 성립하기 위하여 방조범과 정범 사이의 의사연락을 요하지는 않지만, 정범이 누구인지와 범행 일시, 장소, 객체 등에 대한 구체적 인식과 이러한 정범의 실행을 방조한다는 인식이 필요하다.",X,"저작권법이 보호하는 복제권의 침해를 방조하는 행위란 정범의 복제권 침해를 용이하게 해주는 직접·간접의 모든 행위로서, 정범의 복제권 침해행위 중에 이를 방조하는 경우는 물론, 복제권 침해행위에 착수하기 전에 장래의 복제권 침해행위를 예상하고 이를 용이하게 해주는 경우도 포함하며, 정범에 의하여 실행되는 복제권 침해행위에 대한 미필적 고의가 있는 것으로 충분하고 정범의 복제권 침해행위가 실행되는 일시, 장소, 객체 등을 구체적으로 인식할 필요가 없으며, 나아가 정범이 누구인지 확정적으로 인식할 필요도 없다(2005도872)."
甲이 범죄를 교사하였고 피교사자 乙이 실행을 승낙하고도 이후 실행의 착수를 하지 않은 경우 교사자인 甲만 예비·음모에 준하여 처벌된다.,X,형법 제31조(교사범) ②교사를 받은 자가 범죄의 실행을 승낙하고 실행의 착수에 이르지 아니한 때에는 교사자와 피교사자를 음모 또는 예비에 준하여 처벌한다.
"타인으로 하여금 형사처분을 받게 할 목적으로 공무소에 대하여 허위의 사실을 신고하였다고 하더라도, 그 사실이 친고죄로 그에 대한 고소기간이 경과하여 공소를 제기할 수 없음이 그 신고내용 자체에 의하여 분명한 때에는 무고죄가 성립하지 아니한다.",O,"타인으로 하여금 형사처분을 받게 할 목적으로 공무소에 대하여 허위의 사실을 신고하였다고 하더라도, 그 사실이 친고죄로서 그에 대한 고소기간이 경과하여 공소를 제기할 수 없음이 그 신고내용 자체에 의하여 분명한 때에는 당해 국가기관의 직무를 그르치게 할 위험이 없으므로 이러한 경우에는 무고죄는 성립하지 아니한다(98도150)."
(무고죄에서) 신고한 사실이 객관적 진실에 반하는 허위사실이라는 요건은 적극적 증명이 있는 경우뿐만 아니라 신고사실의 진실성을 인정할 수 없다는 소극적 증명이 있어도 충족된다.,X,"무고죄는 타인으로 하여금 형사처분이나 징계처분을 받게 할 목적으로 신고한 사실이 객관적 진실에 반하는 허위사실인 경우에 성립되는 범죄이므로 신고한 사실이 객관적 진실에 반하는 허위사실이라는 점에 관하여는 적극적인 증명이 있어야 하며, 신고사실의 진실성을 인정할 수 없다는 점만으로 곧 그 신고사실이 객관적 진실에 반하는 허위사실이라고 단정하여 무고죄의 성립을 인정할 수는 없고(2011도15767)…"
